Loan_Amount_Term,Credit_History,Loan_Status,Loan_Status_NUM,Total_Income,LoanAmount_Log,Total_Income_Log,Loan_to_Income_Ratio,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
360.0,1.0,1,1,5849.0,4.852030263919617,8.674025985443025,0.021884082749187895,True,False,False,False,False,False,False,False,True
360.0,1.0,0,0,6091.0,4.852030263919617,8.714567550836485,0.0210146117222131,True,True,True,False,False,False,False,False,False
360.0,1.0,1,1,3000.0,4.189654742026425,8.006367567650246,0.022,True,True,False,False,False,False,True,False,True
360.0,1.0,1,1,4941.0,4.787491742782046,8.50532301884575,0.024286581663630843,True,True,False,False,False,True,False,False,True
360.0,1.0,1,1,6000.0,4.948759890378168,8.699514748210191,0.0235,True,False,False,False,False,False,False,False,True
360.0,1.0,1,1,9613.0,5.58724865840025,9.170871628065816,0.027774888172266723,True,True,False,True,False,False,True,False,True
360.0,1.0,1,1,3849.0,4.553876891600541,8.255568653283746,0.024681735515718367,True,True,False,False,False,True,False,False,True
360.0,0.0,0,0,5540.0,5.062595033026967,8.61974977974133,0.02851985559566787,True,True,False,False,True,False,False,True,False
360.0,1.0,1,1,5532.0,5.123963979403259,8.61830469278465,0.03036876355748373,True,True,False,True,False,False,False,False,True
360.0,1.0,0,0,23809.0,5.855071922202427,10.077818939438902,0.014658322483094628,True,True,True,False,False,False,False,True,False
360.0,1.0,1,1,3900.0,4.248495242049359,8.268731832117737,0.017948717948717947,True,True,False,True,False,False,False,False,True
360.0,1.0,1,1,4340.0,4.6913478822291435,8.375629627094451,0.02511520737327189,True,True,False,True,False,False,False,False,True
360.0,1.0,1,1,11179.0,5.298317366548036,9.321792297270326,0.01789068789694964,True,True,False,True,False,False,False,False,True
360.0,1.0,0,0,4693.0,4.736198448394496,8.453827315794417,0.024291497975708502,True,False,False,False,False,False,False,False,False
120.0,1.0,1,1,2385.0,2.833213344056216,7.776954403322442,0.007127882599580713,True,True,False,True,False,False,False,False,True
360.0,1.0,1,1,4950.0,4.8283137373023015,8.507142855562735,0.025252525252525252,True,False,False,False,False,False,False,False,True
240.0,1.0,1,1,3596.0,4.605170185988092,8.18757739559151,0.027808676307007785,True,False,True,False,False,True,False,False,True
360.0,0.0,0,0,3510.0,4.330733340286331,8.163371316459912,0.021652421652421653,False,False,False,False,False,False,False,False,True
360.0,1.0,0,0,4887.0,4.890349128221754,8.494333897270154,0.027215060364231634,True,True,False,False,False,True,False,False,False
360.0,1.0,1,1,6100.0,4.74493212836325,8.716044050161402,0.018852459016393444,True,True,False,False,False,False,False,False,True
360.0,0.0,0,0,7660.0,4.6443908991413725,8.943767262734637,0.013577023498694517,True,True,False,False,False,True,False,False,True
360.0,1.0,1,1,11580.0,5.752572638825633,9.357034751126987,0.027202072538860103,True,True,True,False,False,False,False,False,True
360.0,0.0,0,0,4511.0,4.7535901911063645,8.414274137408396,0.025714919086677012,True,True,False,False,False,True,False,True,False
360.0,0.0,0,0,5282.0,4.718498871295094,8.572060092857077,0.021204089360090876,True,True,False,True,False,True,False,False,False
360.0,1.0,0,0,6642.0,5.017279836814924,8.801168401936692,0.02273411623005119,True,True,True,False,False,False,False,True,False
360.0,1.0,1,1,9560.0,5.25227342804663,9.165343006045447,0.01997907949790795,True,True,False,False,False,False,True,True,False
360.0,1.0,1,1,5052.0,4.804021044733257,8.527539483470381,0.02414885193982581,True,True,False,False,False,False,False,True,False
360.0,1.0,1,1,5266.0,4.700480365792417,8.569026340056254,0.020888720091150777,True,True,False,True,False,True,False,False,True
360.0,1.0,0,0,1442.0,3.5553480614894135,7.273786317844895,0.024271844660194174,True,False,False,False,False,True,False,False,True
360.0,1.0,1,1,5833.0,4.787491742782046,8.671286726753637,0.020572604148808505,False,False,False,True,False,False,False,True,False
360.0,1.0,0,0,7535.0,5.303304908059076,8.927314111060596,0.026675514266755143,True,True,True,False,False,False,False,False,True
360.0,1.0,0,0,3167.0,4.30406509320417,8.06054004653864,0.023365961477739186,True,False,False,False,False,False,False,False,True
360.0,1.0,0,0,4692.0,4.663439094112067,8.453614209773367,0.022591645353793693,True,False,True,False,False,False,True,False,False
